# Canonical payers (company, plan, #raw_variants). Derived from payer-mapping.json.
# The raw→canonical linkage lives in payer-mapping.json — do not lose it.

Anthem / Empire BCBS	BCBS Nys Empire	1
Anthem / Empire BCBS	BCBS Out Of State EPO (Empty Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State EPO (No Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State EPO (Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State HMO (Empty Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State HMO (No Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State HMO (Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State POS (Empty Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State POS (No Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State POS (Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State PPO (Empty Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State PPO (No Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out Of State PPO (Suitcase Logo)	1
Anthem / Empire BCBS	BCBS Out/State Indemnity	1
Anthem / Empire BCBS	BCBS POS	1
Anthem / Empire BCBS	BCBS PPO	1
Anthem / Empire BCBS	BCBS PPO (Blackrock Employees)	1
Anthem / Empire BCBS	BCBS PPO/EPO (Small Group)	1
Anthem / Empire BCBS	Blue Access Large Group	1
Anthem / Empire BCBS	Blue Access Midlevels	1
Anthem / Empire BCBS	Blue Access Small Group	1
Anthem / Empire BCBS	Blue_access	4
Anthem / Empire BCBS	Child Health Plus	2
Anthem / Empire BCBS	CHP	1
Anthem / Empire BCBS	Commercial	2
Anthem / Empire BCBS	Commercial Midlevels	1
Anthem / Empire BCBS	Connection	4
Anthem / Empire BCBS	Connection Midlevels	1
Anthem / Empire BCBS	Connections	1
Anthem / Empire BCBS	Daniel H Cook - Northwell Direct (BCBS Network)	1
Anthem / Empire BCBS	Empire - Exchange Small Group (Narrow Network)	1
Anthem / Empire BCBS	Empire Advantage Medicare PPO	1
Anthem / Empire BCBS	Empire Bc - Blue Access Network	6
Anthem / Empire BCBS	Empire Bc - Blue Priority HMO	4
Anthem / Empire BCBS	Empire Bc - Blue Priority PPO	6
Anthem / Empire BCBS	Empire Bc - Connection Network	6
Anthem / Empire BCBS	Empire Bc - Healthplus Ep	8
Anthem / Empire BCBS	Empire Bc - Healthplus Medicaid	4
Anthem / Empire BCBS	Empire Bc - HMO	2
Anthem / Empire BCBS	Empire Bc - HMO/EPO	4
Anthem / Empire BCBS	Empire Bc - Indemnity	5
Anthem / Empire BCBS	Empire Bc - Individual Network	6
Anthem / Empire BCBS	Empire Bc - Medicare Advantage	5
Anthem / Empire BCBS	Empire Bc - PPO	4
Anthem / Empire BCBS	Empire Bc - PPO/EPO	2
Anthem / Empire BCBS	Empire Bc - Small Group Network	4
Anthem / Empire BCBS	Empire Bc Bs Healthplus Mcaid	1
Anthem / Empire BCBS	Empire Bc Bs Healthplus Mcare	1
Anthem / Empire BCBS	Empire BCBS Healthplus Network (Individual)	1
Anthem / Empire BCBS	Empire Blue Access Large Group	1
Anthem / Empire BCBS	Empire Blue Access Small Group	1
Anthem / Empire BCBS	Empire Blue Cross Blueshield	1
Anthem / Empire BCBS	Empire Bluecrssshield All Commercial	1
Anthem / Empire BCBS	Empire Child Health Plus	1
Anthem / Empire BCBS	Empire Commercial Bluecrshldindempos	1
Anthem / Empire BCBS	Empire Commercial Bluecrssshield HMO	1
Anthem / Empire BCBS	Empire Commercial Bluecrssshield PPO	1
Anthem / Empire BCBS	Empire Commrcial Blcrssshield HMO 32b	1
Anthem / Empire BCBS	Empire Connection	1
Anthem / Empire BCBS	Empire Hlthplus Essential Pln 1 & 2	1
Anthem / Empire BCBS	Empire Hlthplus Essential Pln 3 & 4	1
Anthem / Empire BCBS	Empire HMO	1
Anthem / Empire BCBS	Empire Indemnity	1
Anthem / Empire BCBS	Empire Medicare	1
Anthem / Empire BCBS	Empire Medicare HMO	1
Anthem / Empire BCBS	Empire Optum	1
Anthem / Empire BCBS	Empire Pathway Exchange Plan	1
Anthem / Empire BCBS	Empire Plan/Value Options	1
Anthem / Empire BCBS	Empire Plan/Value Options Alt	1
Anthem / Empire BCBS	Empire PPO	1
Anthem / Empire BCBS	EPO	1
